"row";"column";"CdSO4-fit";"CdS-fit"
2;70;0;1
2;71;0;1
2;72;0;1
2;73;0;1
2;74;0.00856667;0.991433
2;75;0;1
2;76;0.0202088;0.979791
2;77;0.0595164;0.940484
2;78;0.0391173;0.960883
2;79;0;1
2;80;0;1
2;81;0;1
2;82;0;1
2;83;0;1
2;84;0;1
2;85;0;1
2;86;0;1
2;87;0;1
2;88;0;1
2;89;0;1
2;90;0;1
2;91;0;1
2;92;0;1
2;93;0;1
2;94;0;1
2;95;0.0132821;0.986718
2;96;0.0321968;0.967803
2;97;0.0314619;0.968538
2;98;0.0306159;0.969384
2;99;0.0286714;0.971329
2;100;0.0378338;0.962166
2;101;0.0515312;0.948469
2;102;0.0161275;0.983873
2;103;0.00331901;0.996681
2;104;0.0355924;0.964408
2;105;0.0501051;0.949895
2;106;0.0317438;0.968256
2;107;0;1
2;108;0;1
2;109;0;1
2;110;0.000807433;0.999193
2;111;0.0266089;0.973391
2;112;0.038126;0.961874
2;113;0.0311424;0.968858
2;114;0.0320633;0.967937
2;115;0.035726;0.964274
2;116;0.0369383;0.963062
2;117;0.0285892;0.971411
2;118;0.0143289;0.985671
2;119;0.0222263;0.977774
2;120;0.0352327;0.964767
2;121;0.0444232;0.955577
2;122;0.0466918;0.953308
2;123;0.0315845;0.968415
2;124;0.0411147;0.958885
2;125;0.0623011;0.937699
2;126;0.0523034;0.947697
2;127;0.0426852;0.957315
2;128;0.0413564;0.958644
2;129;0.045261;0.954739
2;130;0.04007;0.95993
2;131;0.0359128;0.964087
2;132;0.0227707;0.977229
2;133;0.0168835;0.983117
2;134;0.0100687;0.989931
2;135;0;1
2;136;0;1
2;137;0;1
2;138;0;1
2;139;0;1
2;140;0;1
2;141;0.00575965;0.99424
2;142;0.0117624;0.988238
2;143;0.00932986;0.99067
2;144;0.0240784;0.975922
2;145;0.0262022;0.973798
2;146;0.0145953;0.985405
2;147;0.0230874;0.976913
2;148;0.0484708;0.951529
2;149;0;1
2;150;0;1
2;151;0;1
2;152;0.0456189;0.954381
2;153;0.0353085;0.964692
2;154;0.0341737;0.965826
2;155;0.0281434;0.971857
2;156;0.0278725;0.972128
2;157;0.0302336;0.969766
2;158;0.024985;0.975015
2;159;0.0233715;0.976628
2;160;0.0134645;0.986536
2;161;0.0195964;0.980404
2;162;0.0252092;0.974791
2;163;0.0151583;0.984842
2;164;0.0307082;0.969292
2;165;0.0306341;0.969366
2;166;0.00959322;0.990407
2;167;0.00683033;0.99317
2;168;0;1
2;169;0;1
