"row";"column";"SD1_sampleC_S_energy_2503.5_eV.tif_D1_sampleC.TIFF_Array_53";"CdSO4-fit";"CdS-fit"
4;20;4538.95;0;1
4;21;4201.12;0;1
4;22;4469.79;0;1
4;23;4353.49;0;1
4;24;4394.63;0;1
4;25;5185.81;0;1
4;26;5501.66;0;1
4;27;6103.44;0;1
4;28;7704.14;0;1
4;29;9604.26;5.55e-17;1
4;30;11938.4;0;1
4;31;13021.4;0;1
4;32;13381.7;0.0336725;0.966328
4;33;12788.4;0.0327273;0.967273
4;34;11750;0;1
4;35;10524.8;0;1
4;36;9928.02;0;1
4;37;9864.89;0;1
4;38;9777.76;0.0228132;0.977187
4;39;8978.42;0.036968;0.963032
4;40;8255.1;5.55e-17;1
4;41;8255.42;5.55e-17;1
4;42;9920.27;0;1
4;43;13295.4;0;1
4;44;14036.6;0.0195473;0.980453
4;45;13196.7;0;1
4;46;12971.9;0;1
4;47;14514.5;0;1
4;48;16098.2;0;1
4;49;16566.7;0;1
4;50;16318.6;0;1
4;51;15708.6;0;1
4;52;15144.8;0.0123981;0.987602
4;53;14985.5;0;1
4;54;14461.1;0.030279;0.969721
4;55;13187.2;0;1
4;56;13416.8;0;1
4;57;13307.1;0;1
4;58;13666.9;0;1
4;59;14998.5;0.0138878;0.986112
4;60;15120.4;0.0131161;0.986884
4;61;14126.4;0.0246904;0.97531
4;62;12970.1;0;1
4;63;12286;0;1
4;64;13784.1;0;1
4;65;14024.5;0;1
4;66;12810.2;0;1
4;67;11709;0;1
4;68;11950.7;0;1
4;69;12000.9;0;1
4;70;12562.5;0;1
4;71;12272.5;0;1
4;72;11568.3;0;1
4;73;11863.6;0.0215684;0.978432
4;74;11906.5;0;1
4;75;11599.3;0;1
4;76;11977.2;0;1
4;77;12038.6;0;1
4;78;10318.7;0;1
4;79;8393.18;0;1
4;80;7167.99;0;1
4;81;7140.73;0;1
4;82;7433.03;0;1
4;83;8481.96;0;1
4;84;9826.6;0;1
4;85;11250.3;0;1
4;86;12209.4;0;1
4;87;12065;0;1
4;88;12329.9;0.00543746;0.994563
4;89;12839.4;0;1
4;90;13631.2;0;1
4;91;14615.7;0;1
4;92;14837.6;0.00010131;0.999899
4;93;14045.1;0;1
4;94;13933.6;5.55e-17;1
4;95;14814.5;0;1
4;96;15644.2;3.44e-05;0.999966
4;97;16273.7;0;1
4;98;15804.6;0;1
4;99;14959.2;0;1
4;100;13721;0;1
4;101;13066.2;0;1
4;102;12809.1;0.00229175;0.997708
4;103;13516.8;0.00894048;0.99106
4;104;13731.9;0.000574952;0.999425
4;105;13389.8;0;1
4;106;12990.2;0;1
4;107;14490.9;0;1
4;108;15207.8;5.55e-17;1
4;109;14119.3;0;1
